Question,Answer
シリアル番号のない銃を所有できますか,YES
FIFAは4年ごとに新しいワールドカップトロフィーを作りますか？,No
インポッシブル映画でお母さんは死ぬの？,No
暗黒時代と中世は同じですか,YES
ウォードとジューン・クリーバーは同じベッドで寝ましたか,No
faカップ準決勝に延長戦はありますか,YES
スペインからアフリカへの橋はありますか,No
カメは甲羅から成長しますか,No
有料検索マーケティングは完全に Google によって推進されているというのは本当ですか?,No
フロリダ大学にはサッカーチームがありますか,YES
バーナム・オン・シーに鉄道駅はありますか,No
パトリック・スウェイジは彼女はダーティ・ダンスの風のようなと歌ったか,YES
あなたは義理の弟の妻と親戚ですか？,YES
彼らは完璧な嵐からボートを見つけたことがありますか,No
ゲームボーイアドバンスはゲームボーイのゲームをプレイできますか,YES
2018年にはもう13日の金曜日はありますか？,No
これまでに打者27人全員を三振した投手がいるだろうか,No
オズの魔法使いに出てきた人は生きていますか？,No
Uprising をプレイするにはレッドアラート 3 が必要ですか?,No
ヴァイオリンとフィドルには違いがありますか,No
ニュージーランドの北と南の島はつながっていますか,No
1年間にテニスの4つのメジャー大会すべてで優勝した人はいますか,YES
アオカケスは他の鳥の巣を占拠しますか,YES
アーカンソー大学が全国選手権で優勝したことがありますか,YES
ウィスキー・ア・ゴー・ゴーはまだ開いていますか,YES
アメリカは冬季オリンピックのメダル数を獲得したことがありますか,YES
爆弾は本当にグレイの解剖学で爆発したのか,YES
液体コーヒーメイトは冷蔵する必要がありますか,YES
シリウスXMに天気チャンネルはありますか？,No
ライオンズはスーパーボウルに進出したことがありますか,No
韓国には異なるタイムゾーンがありますか,No
ニューヨークで銃器を所有できますか,YES
風のタクトは時のオカリナの続編ですか？,YES
アルドール縮合は酸性媒体中で起こりますか,YES
羊たちの沈黙はハンニバルの前に来るのか,YES
東京マイヤーズは英国の才能を獲得したのか,YES
フランスで亡くなった人と結婚できますか,YES
すべてのPS1ゲームをPS2でプレイできますか,No
甲状腺の隣にリンパ節はありますか,YES
キング・オブ・クイーンズ、ダグとキャリーが離婚する,No
ヘーゼル色の目と緑色の目は同じですか,No
犬はベンジーの最後に死ぬのですか？,No
シーズン6のハウス・オブ・カードはありますか,YES
ダークウェブとディープウェブは同じですか,No
広告グレードは gcse としてカウントされますか,YES
縞模様のパジャマを着た少年は映画ですか,YES
PK戦のゴールはゴールデンブーツにカウントされますか,No
あなたの身長は翼を広げた長さと同じですか,No
PCPとエンジェルダストは同じものですか,YES
あなたの心は間違った方向にあるでしょうか,YES
ポーンスターのおじいちゃんは亡くなりましたか,YES
3パーセントのシーズン3はあるでしょうか？,YES
オランダで二重国籍を持てますか,YES
ワボバの月球は水の上で跳ねますか,YES
ハリーポッターの賢者の石と賢者の石は同じですか,YES
新しいスマッシュコントローラーはゲームキューブでも動作しますか,YES
アメリカにはまだ賞金稼ぎがいるの？,YES
下院は連邦裁判官を弾劾できるか,YES
リオネル・メッシは2014 FIFAワールドカップ決勝のドイツ戦でプレーしましたか,YES
下院議長は修正第 13 条に投票しましたか,YES
赤ピーマンと緑ピーマンは同じですか,YES
マーブは最初の罪の都市で死ぬのですか？,YES
大学野球で木製バットを使用できますか,YES
カジノでカードを数えるのは違法ですか,No
Xbox One で Xbox 360 ゲームをプレイする,YES
10クローバーフィールドレーンの後に映画はありますか,YES
飛行機内で携帯電話は使えますか,YES
円の直径は弦ですか,YES
