Question,Answer
FIFAは4年ごとに新しいワールドカップトロフィーを作りますか？,No
暗黒時代と中世は同じですか,YES
faカップ準決勝に延長戦はありますか,YES
スペインからアフリカへの橋はありますか,No
カメは甲羅から成長しますか,No
フロリダ大学にはサッカーチームがありますか,YES
バーナム・オン・シーに鉄道駅はありますか,No
ゲームボーイアドバンスはゲームボーイのゲームをプレイできますか,YES
これまでに打者27人全員を三振した投手がいるだろうか,No
ヴァイオリンとフィドルには違いがありますか,No
ニュージーランドの北と南の島はつながっていますか,No
1年間にテニスの4つのメジャー大会すべてで優勝した人はいますか,YES
アオカケスは他の鳥の巣を占拠しますか,YES
アーカンソー大学が全国選手権で優勝したことがありますか,YES
ウィスキー・ア・ゴー・ゴーはまだ開いていますか,YES
アメリカは冬季オリンピックのメダル数を獲得したことがありますか,YES
シリウスXMに天気チャンネルはありますか？,No
ライオンズはスーパーボウルに進出したことがありますか,No
韓国には異なるタイムゾーンがありますか,No
ニューヨークで銃器を所有できますか,YES
風のタクトは時のオカリナの続編ですか？,YES
アルドール縮合は酸性媒体中で起こりますか,YES
フランスで亡くなった人と結婚できますか,YES
すべてのPS1ゲームをPS2でプレイできますか,No
甲状腺の隣にリンパ節はありますか,YES
ダークウェブとディープウェブは同じですか,No
オランダで二重国籍を持てますか,YES
下院は連邦裁判官を弾劾できるか,YES
リオネル・メッシは2014 FIFAワールドカップ決勝のドイツ戦でプレーしましたか,YES
大学野球で木製バットを使用できますか,YES
カジノでカードを数えるのは違法ですか,No
飛行機内で携帯電話は使えますか,YES
米国は第二次世界大戦の草案を持っていましたか,YES
ギターセンターとミュージシャンの友達は同じですか,YES
ニコチン離脱というものはありますか,YES
イエロージャケットとスズメバチは同じものですか,No
私ではなく彼にキスしますか?セカンドシーズンはありますか?,No
危険な状況で100万ドルを勝ち取った人はいますか,YES
飛行機からの落下で生き残った人はいますか,YES
NBAにサラリーキャップはありますか,YES
カナダのグレイシャー国立公園に氷河はありますか,YES
空に雲がなければ雨が降ることはありますか,YES
